"Team","Wins","Losses","ELO","Conference","Region","Ranking.Estimate.1"
"Stonehill",8,20,1036.38,"NEC","East",1028.57142857143
"Stony Brook",18,13,1314.68,"CAA","East",1264.51612903226
"Syracuse",20,13,1539.08,"ACC","East",1284.84848484848
"Tarleton State",6,21,1035.71,"WAC","West",977.777777777778
"TCU",8,23,1261.2,"Big 12","South",1006.45161290323
"Temple",11,18,1272.44,"AAC","East",1103.44827586207
"Tennessee",25,12,1736.37,"SEC","South",1340.54054054054
"Tennessee-Martin",13,17,1199.27,"OVC","Midwest",1146.66666666667
"Tennessee State",8,18,1085.98,"OVC","Midwest",1046.15384615385
"Tennessee Tech",21,10,1437.17,"OVC","Midwest",1341.93548387097
"Texas",26,10,1702.28,"Big 12","South",1377.77777777778
"Texas A&M",9,20,1353.27,"SEC","South",1048.27586206897
"Texas A&M-Commerce",13,19,1143.61,"Southland","South",1125
"Texas A&M-Corpus Christi",16,12,1269.4,"Southland","South",1257.14285714286
"Texas Southern",2,27,926.45,"SWAC","South",855.172413793103
"Texas State",20,10,1415.28,"Sun Belt","South",1333.33333333333
"Texas Tech",20,15,1448.76,"Big 12","South",1257.14285714286
"Toledo",29,5,1709.3,"MAC","Midwest",1482.35294117647
"Towson",21,12,1425.67,"CAA","East",1309.09090909091
"Troy",16,13,1321.84,"Sun Belt","South",1241.37931034483
"Tulane",17,14,1388.92,"AAC","East",1238.70967741935
"Tulsa",17,13,1321.84,"AAC","East",1253.33333333333
"UAB",12,17,1241.51,"AAC","East",1131.03448275862
"UC Davis",14,14,1315.22,"Big West","West",1200
"UC Irvine",23,7,1432.14,"Big West","West",1413.33333333333
"UC Riverside",5,25,1040.46,"Big West","West",933.333333333333
"UC San Diego",13,17,1188.28,"Big West","West",1146.66666666667
"UC Santa Barbara",19,12,1308.03,"Big West","West",1290.32258064516
"UCF",14,15,1344.28,"Big 12","South",1186.20689655172
"UCLA",27,10,1691.42,"Pac-12","West",1383.78378378378
"UIC",19,17,1271.49,"MVC","Midwest",1222.22222222222
"ULM",4,23,978.99,"Sun Belt","South",918.518518518518
"UMass",27,7,1590.96,"Atlantic 10","East",1435.29411764706
"UMass-Lowell",5,22,1064.72,"America East","East",948.148148148148
"UMBC",13,15,1198.3,"America East","East",1171.42857142857
"UMKC",7,23,1109.04,"WAC","West",986.666666666667
"UNC Asheville",10,19,1117.83,"Big South","South",1075.86206896552
"UNCG",13,14,1279.99,"SoCon","South",1185.18518518519
"UNCW",4,24,982.11,"CAA","East",914.285714285714
"UNLV",30,3,1649.6,"Mountain West","West",1527.27272727273
"USC",21,10,1551.59,"Pac-12","West",1341.93548387097
"UTA",13,17,1266.52,"Sun Belt","South",1146.66666666667
"Utah",27,5,1737.52,"Pac-12","West",1475
"Utah State",3,26,959,"Mountain West","West",882.758620689655
"Utah Tech",17,12,1274.83,"WAC","West",1268.96551724138
"Utah Valley",4,24,1018.87,"WAC","West",914.285714285714
"UTEP",20,12,1361.83,"C-USA","South",1300
"UTRGV",11,18,1183.66,"WAC","West",1103.44827586207
"UTSA",13,19,1325.98,"AAC","East",1125
"Valparaiso",7,23,1133.12,"MVC","Midwest",986.666666666667
"Vanderbilt",12,19,1330.31,"SEC","South",1109.67741935484
"VCU",7,22,1146.82,"Atlantic 10","East",993.103448275862
"Vermont",24,7,1492.88,"America East","East",1419.35483870968
"Villanova",30,7,1728.48,"Big East","East",1448.64864864865
"Virginia",15,15,1355.85,"ACC","East",1200
"Virginia Tech",31,5,1863.24,"ACC","East",1488.88888888889
"Wagner",13,15,1090.1,"NEC","East",1171.42857142857
"Wake Forest",17,17,1438.55,"ACC","East",1200
"Washington",19,15,1515.58,"Pac-12","West",1247.05882352941
"Washington State",23,11,1661.93,"Pac-12","West",1341.17647058824
"Weber State",6,25,1012.26,"Big Sky","West",954.838709677419
"West Virginia",19,12,1543.79,"Big 12","South",1290.32258064516
"Western Carolina",6,21,1003.53,"SoCon","South",977.777777777778
"Western Illinois",8,20,1097.34,"Summit League","Midwest",1028.57142857143
"Western Kentucky",19,14,1427.58,"C-USA","South",1260.60606060606
"Western Michigan",11,17,1273.92,"MAC","Midwest",1114.28571428571
"Wichita State",18,15,1360.96,"AAC","East",1236.36363636364
"William & Mary",18,13,1361.83,"CAA","East",1264.51612903226
"Winthrop",7,22,1005.28,"Big South","South",993.103448275862
"Wisconsin",11,20,1348.82,"Big Ten","Midwest",1083.87096774194
"Wofford",19,10,1359.59,"SoCon","South",1324.13793103448
"Wright State",7,24,1178.75,"Horizon","Midwest",980.645161290323
"Wyoming",21,11,1461.02,"Mountain West","West",1325
"Xavier",7,23,1103.59,"Big East","East",986.666666666667
"Yale",13,14,1344.83,"Ivy League","East",1185.18518518519
"Youngstown State",17,11,1326.52,"Horizon","Midwest",1285.71428571429
